Frame,Angle (degrees)
1,-34.840944004153194
2,-24.026506578679196
3,-19.536654938128386
4,-18.43494882292201
5,-160.01689347810003
6,-161.91655461695134
7,-152.10272896905238
8,-148.69004961746552
9,-143.74616226255523
10,-142.6960517220166
11,-145.66034829453534
12,-148.32453126189077
13,-157.4964715002326
14,-161.91655461695134
15,-66.80140948635182
16,-21.80140948635181
17,-24.623564786163612
18,-28.70595254340109
19,-33.826161758185265
20,-34.87532834460218
21,-33.690067525979785
22,-30.87208336308031
23,-27.64597536373868
24,-19.72227776444705
25,-39.80557109226519
26,-161.565051177078
27,-160.3461759419467
28,-155.27268561330987
29,-149.31482691040486
30,-148.59483633407498
31,-148.15754274001483
32,-151.3895403340348
33,-154.31185656435267
34,-161.22196677755446
35,-163.3007557660064
36,-26.56505117707799
37,-20.72555886556054
38,-23.886499921634744
39,-26.85442134051859
40,-30.09424147644501
41,-30.09424147644501
42,-28.940012692839357
43,-23.962488974578186
44,-19.230672375661285
45,-21.370622269343183
46,-161.565051177078
47,-162.89727103094762
48,-158.05130091647302
49,-156.17573941710458
50,-152.61257784292386
51,-153.9832170592262
52,-154.59228189105156
53,-158.66314070819433
54,-162.5528115767178
55,-161.565051177078
56,-22.249023657212366
57,-19.74683660542612
58,-20.67442476087389
59,-24.567171320601314
60,-25.641005824305285
61,-25.016893478100023
62,-23.886499921634744
63,-19.72227776444705
64,-18.43494882292201
65,-39.80557109226519
66,-151.3895403340348
67,-161.565051177078
68,-160.27772223555294
69,-157.3194403929751
70,-156.50143432404792
71,-157.75097634278765
72,-159.0265065786792
73,-162.40757543781842
74,-161.565051177078
75,-63.43494882292201
76,-23.962488974578186
77,-20.409882833803987
78,-21.037511025421818
79,-21.96056402009647
80,-22.750976342787634
81,-21.44773632710535
82,-20.1706534118504
83,-19.025606037568682
84,-20.556045219583467
85,-71.56505117707799
86,-163.73979529168807
87,-161.17528998175993
88,-161.565051177078
89,-160.9422954898717
90,-160.01689347810003
91,-161.8962369654934
92,-162.47443162627712
93,-162.18111108547723
94,-129.8055710922652
95,-35.53767779197438
96,-19.65382405805331
97,-17.96913974015702
98,-18.799885158652657
99,-19.133643205905482
100,-18.43494882292201
101,-36.6070748126075
102,-28.33913203589589
103,-23.294563253894424
104,-23.19859051364819
105,-143.13010235415598
106,-158.52320902045963
107,-153.72578784527258
108,-145.9111283842834
109,-144.20259697202167
110,-142.95752522691714
111,-144.56668598971444
112,-149.78272604261568
113,-154.02560603756868
114,-162.47443162627712
115,-151.3895403340348
116,-20.854458039578347
117,-23.532348560901013
118,-30.018367427609085
119,-32.855721950433
120,-35.64702074990675
121,-34.48395361545521
122,-29.267995214892697
123,-25.132954992913344
124,-18.43494882292201
125,-24.22774531795417
126,-160.97439396243132
127,-161.565051177078
128,-153.15270588665118
129,-150.67282050954321
130,-148.76809045148303
131,-148.86102756302114
132,-150.0543165596048
133,-155.6136288981986
134,-159.3410899366925
135,-160.70995378081125
136,-69.44395478041653
137,-23.74949449286676
138,-23.532348560901013
139,-27.92897870868091
140,-29.60445074600491
141,-29.327179490456803
142,-28.141601232261724
143,-22.796521467942608
144,-19.98310652189998
145,-20.556045219583467
146,-129.8055710922652
147,-161.565051177078
148,-159.0265065786792
149,-154.31185656435267
150,-152.61257784292386
151,-153.1594904667868
152,-154.02560603756868
153,-159.0265065786792
154,-161.93952806380082
155,-162.75854060106005
156,-26.56505117707799
157,-20.77225468204583
158,-21.630886836517924
159,-23.805943518457717
160,-26.26663835708311
161,-26.26663835708311
162,-23.498565675952097
163,-21.80140948635181
164,-18.924644416051233
165,-18.43494882292201
166,-160.55996517182382
167,-162.07208023799276
168,-160.09625046269218
169,-157.44275336529435
170,-156.7054367461056
171,-156.80140948635182
172,-158.70264595096626
173,-161.22196677755446
174,-160.8209919741893
175,-138.81407483429035
176,-21.370622269343183
177,-19.35899417569472
178,-20.556045219583467
179,-22.285587646832763
180,-23.19859051364819
181,-21.161259816828277
182,-19.50244850666222
183,-18.88608736970929
184,-22.619864948040426
185,-108.43494882292202
186,-162.18111108547723
187,-161.565051177078
188,-160.61548432064217
189,-159.77514056883192
190,-159.77514056883192
191,-160.55996517182382
192,-161.565051177078
193,-162.89727103094762
194,-156.80140948635182
195,-26.56505117707799
196,-19.98310652189998
197,-18.970407808486545
198,-19.17900802581072
199,-19.798876354524932
200,-19.50244850666222
201,-34.200484130268535
202,-29.357753542791276
203,-20.973493421320804
204,-17.92791976200724
205,-162.25532837494308
206,-160.55996517182382
207,-150.8323866204222
208,-146.8702645315879
209,-143.0428942335053
210,-142.08689541007368
211,-145.00797980144134
212,-147.88516939970327
213,-152.35402463626133
214,-161.565051177078
215,-50.19442890773481
216,-22.750976342787634
217,-24.67686317033706
218,-28.657117456558133
219,-33.95905981967627
220,-35.64702074990675
221,-33.826161758185265
222,-31.054271116352783
223,-22.34064795999414
224,-19.72227776444705
225,-39.80557109226519
226,-159.77514056883192
227,-160.76932762433873
228,-154.94238458169698
229,-151.34288254344185
230,-147.4499965078066
231,-147.29526642299817
232,-150.8901444431089
233,-154.010766416167
234,-161.22196677755446
235,-160.97439396243132
236,-26.56505117707799
237,-20.224859431168078
238,-25.24052926478679
239,-27.699472808055
240,-30.579226872489016
241,-31.059408829709984
242,-27.96223220437437
243,-24.973910905883404
244,-18.82471001824007
245,-20.556045219583467
246,-161.565051177078
247,-162.47443162627712
248,-157.3194403929751
249,-154.65382405805332
250,-152.35402463626133
251,-152.35402463626133
252,-155.32313682966296
253,-158.19859051364818
254,-161.24134965215777
255,-163.61045966596524
256,-74.05460409907715
257,-25.463345061871614
258,-20.67442476087389
259,-24.928474135461272
260,-25.95876926156064
261,-25.95876926156064
262,-23.962488974578186
263,-19.98310652189998
264,-18.85315876441911
265,-35.53767779197438
266,-149.03624346792648
267,-161.565051177078
268,-160.61548432064217
269,-156.90317808183917
270,-156.41296947487177
271,-157.61986494804043
272,-159.14554196042167
273,-161.96571443287016
274,-161.565051177078
275,-81.86989764584403
276,-25.20112364547507
277,-19.536654938128386
278,-20.67442476087389
279,-22.425861921351792
280,-22.873665190626713
281,-21.630886836517924
282,-19.093492000485615
283,-18.034285567129857
284,-18.43494882292201
285,-149.03624346792648
286,-160.8209919741893
287,-162.5528115767178
288,-160.55996517182382
289,-161.25865955480728
290,-161.565051177078
291,-160.61548432064217
292,-161.99583839408663
293,-163.3007557660064
294,-139.39870535499554
295,-50.19442890773481
296,-22.16634582208246
297,-19.855214369321057
298,-19.88516511385544
299,-20.1706534118504
300,-19.17900802581072
301,-36.15818543980833
302,-27.083550864368664
303,-20.820892853310824
304,-25.20112364547507
305,-153.434948822922
306,-158.66314070819433
307,-153.71858897867983
308,-146.17791478250606
309,-143.8418145601917
310,-143.0428942335053
311,-144.6733554324035
312,-150.39554925399509
313,-155.27268561330987
314,-163.61045966596524
315,-130.6012946450045
316,-21.80140948635181
317,-22.98871680208064
318,-30.96375653207352
319,-33.274887984834926
320,-35.26301172959725
321,-34.359380297589425
322,-29.109855556891088
323,-23.895161415070366
324,-19.290046219188735
325,-20.556045219583467
326,-162.07208023799276
327,-160.9422954898717
328,-156.41296947487177
329,-149.9816325723909
330,-148.32453126189077
331,-148.32453126189077
332,-149.9816325723909
333,-156.32946151527955
334,-160.09625046269218
335,-165.96375653207352
336,-35.53767779197438
337,-20.136303428248137
338,-22.557246634705653
339,-28.465162142654847
340,-29.88652694042403
341,-29.88652694042403
342,-28.465162142654847
343,-22.557246634705653
344,-19.798876354524932
345,-26.56505117707799
346,-149.03624346792648
347,-161.91655461695134
348,-158.355564859286
349,-154.86704500708666
350,-153.434948822922
351,-153.16595652922553
352,-155.8333701570145
353,-157.91282839677166
354,-161.96571443287016
355,-162.25532837494308
356,-21.037511025421818
357,-20.556045219583467
358,-21.80140948635181
359,-23.805943518457717
360,-26.56505117707799
361,-25.95876926156064
362,-22.680559607024918
363,-20.77225468204583
364,-20.136303428248137
365,-21.037511025421818
366,-161.565051177078
367,-162.030860259843
368,-159.86369657175186
369,-158.7907738657772
370,-156.41296947487177
371,-157.4964715002326
372,-160.97439396243132
373,-162.6459753637387
374,-163.3007557660064
375,-129.8055710922652
376,-21.80140948635181
377,-21.595310448967687
378,-21.44773632710535
379,-22.619864948040426
380,-22.750976342787634
381,-20.44954761079258
382,-18.43494882292201
383,-17.447188423282203
384,-22.249023657212366
385,-125.53767779197437
386,-161.565051177078
387,-162.40757543781842
388,-160.61548432064217
389,-160.6651914621736
390,-160.6651914621736
391,-161.22196677755446
392,-161.96571443287016
393,-160.8209919741893
394,-151.3895403340348
395,-26.56505117707799
396,-19.17900802581072
397,-19.290046219188735
398,-19.573125830410195
399,-20.556045219583467
400,-20.282559088916607
