t,x,y,angle
0.028879165649414062,421,234,50.19442890773481
0.2264561653137207,377,274,35.445710327598235
0.2738311290740967,344,296,25.048409305236767
0.2908012866973877,261,314,1.2960634980171208
0.30960893630981445,216,308,-9.374647020891295
0.3337881565093994,172,294,-21.60552724263848
0.3582000732421875,112,267,-38.98146539141869
0.38054609298706055,84,238,-49.56664560539863
0.42604708671569824,79,232,-51.42106082349074
0.4754941463470459,80,233,-51.09586154459581
0.5210831165313721,103,256,-42.96120536073284
0.5748851299285889,121,265,-37.99215277102313
0.6233160495758057,179,296,-19.18990075942722
0.6692678928375244,214,307,-10.209234076060742
0.717083215713501,293,308,11.875163979700107
0.7684011459350586,333,299,22.13957626499913
0.8241372108459473,386,266,37.806529944704465
0.8734819889068604,400,253,42.75425743410493
0.9270651340484619,413,242,47.23117460803125
0.9739780426025391,412,244,46.66833744829331
1.0226433277130127,392,264,39.67271155181333
1.0771350860595703,369,278,32.59258147259926
1.1246860027313232,312,306,15.910028140283494
1.1772799491882324,272,316,6.170175095029609
1.223952054977417,234,312,-5.2418199469795566
1.2720072269439697,168,296,-22.719997281457676
1.3240060806274414,127,277,-34.84303448063771
1.3770391941070557,112,267,-38.78077031120884
1.421976089477539,107,256,-42.20275647716592
1.471163272857666,111,258,-41.061260916148804
1.5248081684112549,121,272,-36.35139795855335
1.5697331428527832,157,290,-25.974393962431318
1.6232240200042725,183,302,-17.942447089158676
1.6759982109069824,249,308,-1.0809241866606887
1.7220451831817627,281,312,7.220721904956838
1.774703025817871,338,295,23.301209710510175
1.8242602348327637,361,284,30.068582821862453
1.8686740398406982,384,267,37.504142360270144
1.9221439361572266,389,266,38.90413845540419
1.9744911193847656,382,272,36.505624210191016
2.02024507522583,372,280,33.045517197506925
2.0729730129241943,335,297,22.619864948040426
2.12394118309021,305,304,14.743562836470735
2.172213077545166,245,312,-2.37496151576137
2.2261900901794434,216,316,-9.713251024940284
2.2779080867767334,167,293,-22.92280068446368
2.323132276535034,150,293,-26.793775628803157
2.368152141571045,132,281,-32.68874511990872
2.4150002002716064,130,277,-33.690067525979785
2.464721202850342,144,286,-29.357753542791276
2.515223979949951,158,296,-24.721155867929195
2.565918207168579,198,308,-14.534455080540122
2.6152303218841553,228,307,-5.896963510210823
2.665503978729248,278,312,6.311210575132623
2.715301036834717,304,310,14.098930291396254
2.76418399810791,343,292,25.159301916031655
2.815319061279297,353,288,27.73419050498541
2.865509033203125,362,282,30.96375653207352
2.916323184967041,360,286,29.97289058597137
2.9714300632476807,342,292,24.57397523691099
3.0222949981689453,326,302,19.98310652189998
3.069862127304077,307,306,14.981632572390918
3.118648052215576,260,312,3.150716413267741
3.1665992736816406,236,312,-4.479460452350279
3.2203011512756348,195,309,-15.210426216402103
3.269325017929077,180,300,-19.093492000485615
3.3198201656341553,162,297,-23.805943518457717
3.370124101638794,157,294,-25.29714233858729
3.422067880630493,166,301,-22.46321248940715
3.4739811420440674,177,307,-19.467909201804407
3.5192670822143555,205,304,-13.255872481677512
3.5670390129089355,224,306,-6.927218126009166
3.6182610988616943,265,313,3.0802101366458268
3.6680922508239746,284,306,9.374647020891295
3.7199831008911133,316,308,17.216073587790714
3.766928195953369,327,302,20.40422845905544
3.817073106765747,334,296,22.437459474566264
3.868925094604492,332,300,21.560063906565105
3.9212892055511475,318,302,17.935288994058315
3.9692389965057373,308,308,15.030430523433274
4.01959228515625,277,312,7.475737385548222
4.070212125778198,256,314,0.0
4.120820999145508,226,306,-7.258030107651239
4.169755220413208,215,304,-10.734377793491475
4.220055103302002,193,301,-16.270731215544814
4.269345045089722,184,309,-17.87869659584134
4.315685033798218,184,306,-17.628019367819636
4.366206169128418,187,310,-16.602746170265167
4.418081045150757,208,314,-11.75793552058417
4.470344305038452,220,308,-8.280682242721747
4.518988132476807,230,308,-6.134409943923921
4.5703558921813965,258,308,1.051180749543747
4.620835065841675,275,314,6.903553919725023
4.670058012008667,292,310,10.856413348062246
4.719364166259766,301,308,13.404562562903815
4.766537189483643,306,308,15.232355184385371
4.817103147506714,304,308,14.162168055312756
4.865934133529663,292,310,10.905022045234448
4.917758226394653,288,308,10.444195475355848
4.969526052474976,264,316,4.140886003519859
